filename,fitness,makespan,missed,baseline
6.10.1.json.result.jsonc,0.18845455,1058.924,1,1078.7476708790684
6.10.2.json.result.jsonc,0.190267,1232.5642,1,1232.5642370084722
6.10.3.json.result.jsonc,0.34709507,1295.786,2,1295.7859985616208
6.10.4.json.result.jsonc,0.19907437,1160.2155,1,997.8432105109541
6.20.1.json.result.jsonc,0.030736689,4486.6816,0,4486.681346181809
6.20.2.json.result.jsonc,0.18854994,4099.7876,1,4099.787885636016
6.20.3.json.result.jsonc,0.33609343,3960.6887,2,6233.214544913807
6.20.4.json.result.jsonc,0.33703667,4245.0356,2,6174.786067461169
6.5.1.json.result.jsonc,0.19336188,699.66565,1,699.6656534991815
6.5.2.json.result.jsonc,0.049878445,581.99146,0,581.9914816603255
6.5.3.json.result.jsonc,0.19366883,766.7834,1,766.7833863800394
6.5.4.json.result.jsonc,0.034192957,579.9713,0,579.9713227928262
100.10.1.json.result.jsonc,0.44857603,1880.6561,44,1647.1931371277365
100.10.2.json.result.jsonc,0.34191233,1782.64,33,1628.4618262977046
100.10.3.json.result.jsonc,0.30292392,1702.2528,29,1619.0297421496223
100.10.4.json.result.jsonc,0.27786335,1847.2609,26,1594.5178442311103
100.20.1.json.result.jsonc,0.036753412,4414.928,1,4246.817838675374
100.20.2.json.result.jsonc,0.11122367,4055.9934,9,4055.993734698326
100.20.3.json.result.jsonc,0.24219148,4722.7905,23,5239.522645003226
100.20.4.json.result.jsonc,0.15052846,4573.7905,13,4469.019420216559
100.30.1.json.result.jsonc,0.3010347,8599.779,29,8862.635756480926
100.30.2.json.result.jsonc,0.08130117,8008.9106,6,8683.579501894274
100.30.3.json.result.jsonc,0.44013673,7592.41,44,9026.783650332121
100.30.4.json.result.jsonc,0.2712459,8399.543,26,9177.910754574132
100.40.1.json.result.jsonc,0.6715881,9020.072,69,14797.055987979562
100.40.2.json.result.jsonc,0.6951683,6666.9126,72,15185.248390174867
100.40.3.json.result.jsonc,0.6614132,8952.152,68,15262.917001359594
100.40.4.json.result.jsonc,0.58730316,9526.895,60,14666.91913577742
10.10.1.json.result.jsonc,0.12551078,1735.9501,1,1735.950029753597
10.10.2.json.result.jsonc,0.31888348,2006.7275,3,2006.7277325718107
10.10.3.json.result.jsonc,0.12643102,1818.1503,1,1818.1502668036474
10.10.4.json.result.jsonc,0.031659495,1359.6333,0,1359.633305210052
10.20.1.json.result.jsonc,0.11941443,4891.118,1,5738.066783105984
10.20.2.json.result.jsonc,0.5811927,2710.4375,6,6973.407432305421
10.20.3.json.result.jsonc,0.11674579,4978.753,1,6468.868414029823
10.20.4.json.result.jsonc,0.582763,2694.265,6,6469.04259277102
10.5.1.json.result.jsonc,0.21283609,906.6182,2,1212.9464832192677
10.5.2.json.result.jsonc,0.03132307,709.2038,0,709.20374541352
10.5.3.json.result.jsonc,0.027632475,775.6905,0,775.6904789217117
10.5.4.json.result.jsonc,0.033476997,801.3366,0,745.4251979411413
12.10.1.json.result.jsonc,0.18500185,1590.2261,2,1669.8569829807204
12.10.2.json.result.jsonc,0.26540244,1656.0204,3,1670.9122410598095
12.10.3.json.result.jsonc,0.33531016,1247.8542,4,1788.4912930025475
12.10.4.json.result.jsonc,0.10545995,1659.855,1,1719.958304991703
12.20.1.json.result.jsonc,0.4893613,4018.7573,6,8240.622101600888
12.20.2.json.result.jsonc,0.5693604,4712.214,7,8615.090910921224
12.20.3.json.result.jsonc,0.56147444,1431.1573,7,5974.02974337627
12.20.4.json.result.jsonc,0.41044492,3759.2886,5,7417.9968484856945
12.5.1.json.result.jsonc,0.1862918,722.73944,2,722.7394361159835
12.5.2.json.result.jsonc,0.26871744,811.65186,3,682.5606451824856
12.5.3.json.result.jsonc,0.03557619,1263.5392,0,1011.0698275268996
12.5.4.json.result.jsonc,0.029561097,925.82196,0,925.8220031419719
20.10.1.json.result.jsonc,0.26804683,1448.744,5,1339.557602552025
20.10.2.json.result.jsonc,0.1733077,1429.6135,3,1268.6931343777678
20.10.3.json.result.jsonc,0.22163433,1206.1754,4,1206.1754607013595
20.10.4.json.result.jsonc,0.033442836,1374.0431,0,1325.8547556895428
20.20.1.json.result.jsonc,0.0777551,4375.9956,1,4350.600433161287
20.20.2.json.result.jsonc,0.12593722,4041.312,2,4041.311867006855
20.20.3.json.result.jsonc,0.49075294,2977.1494,10,5505.983606715483
20.20.4.json.result.jsonc,0.17124821,4371.3013,3,4370.352230891433
20.5.1.json.result.jsonc,0.13277975,790.4204,2,624.9425617414187
20.5.2.json.result.jsonc,0.13028039,891.007,2,712.1069823768553
20.5.3.json.result.jsonc,0.039951634,675.3726,0,480.26025043071974
20.5.4.json.result.jsonc,0.18930238,773.3253,3,518.3642017631608
50.10.1.json.result.jsonc,0.19989268,1997.2135,9,1893.3764241835136
50.10.2.json.result.jsonc,0.31822205,1890.4501,15,1544.8554615787334
50.10.3.json.result.jsonc,0.27798223,1732.9473,13,1523.23889171603
50.10.4.json.result.jsonc,0.27791432,1614.4927,13,1455.8578212932475
50.20.1.json.result.jsonc,0.08580682,4244.8965,3,4050.675501179999
50.20.2.json.result.jsonc,0.06744946,4283.049,2,4065.3832195800483
50.20.3.json.result.jsonc,0.31176046,4700.008,15,4584.578241644871
50.20.4.json.result.jsonc,0.10117361,4886.2373,4,4476.04285736001
50.30.1.json.result.jsonc,0.213671,8129.7817,10,8873.783828187867
50.30.2.json.result.jsonc,0.25121337,7003.7163,12,8037.201633097809
50.30.3.json.result.jsonc,0.17558882,7670.0664,8,8701.43730831771
50.30.4.json.result.jsonc,0.2527706,8003.787,12,8781.522367778027
50.40.1.json.result.jsonc,0.54654294,7942.594,28,14477.635234919931
50.40.2.json.result.jsonc,0.6618413,8812.881,34,14476.635163144467
50.40.3.json.result.jsonc,0.5842729,6960.7466,30,13180.061299954115
50.40.4.json.result.jsonc,0.4754558,9818.705,24,13193.029936403376
